State,provider_state,govenors_party_in_2017,state_party
Alabama,AL,R,AL- R
Alaska,AK,I,AK- I
Arizona,AZ,R,AZ- R
Arkansas,AR,R,AR- R
California,CA,D,CA- D
Colorado,CO,D,CO- D
Connecticut,CT,D,CT- D
DC,DC,N/A,DC- N/A
Delaware,DE,D,DE- D
Florida,FL,R,FL- R
Georgia,GA,R,GA- R
Hawaii,HI,D,HI- D
Idaho,ID,R,ID- R
Illinois,IL,R,IL- R
Indiana,IN,R,IN- R
Iowa,IA,R,IA- R
Kansas,KS,R,KS- R
Kentucky,KY,R,KY- R
Louisiana,LA,D,LA- D
Maine,ME,R,ME- R
Maryland,MD,R,MD- R
Massachusetts,MA,R,MA- R
Michigan,MI,R,MI- R
Minnesota,MN,D,MN- D
Mississippi,MS,R,MS- R
Missouri,MO,R,MO- R
Montana,MT,D,MT- D
Nebraska,NE,R,NE- R
Nevada,NV,R,NV- R
New Hampshire,NH,R,NH- R
New Jersey,NJ,R,NJ- R
New Mexico,NM,R,NM- R
New York,NY,D,NY- D
North Carolina,NC,D,NC- D
North Dakota,ND,R,ND- R
Ohio,OH,R,OH- R
Oklahoma,OK,R,OK- R
Oregon,OR,D,OR- D
Pennsylvania,PA,D,PA- D
Rhode Island,RI,D,RI- D
South Carolina,SC,R,SC- R
South Dakota,SD,R,SD- R
Tennessee,TN,R,TN- R
Texas,TX,R,TX- R
Utah,UT,R,UT- R
Vermont,VT,R,VT- R
Virginia,VA,D,VA- D
Washington,WA,D,WA- D
West Virginia,WV,R,WV- R
Wisconsin,WI,R,WI- R
Wyoming,WY,R,WY- R